ts,lat,lon,time
1772105548890,34.086579,-118.005272,2026-02-26 11:32:28.890
1772105728920,34.086579,-118.005272,2026-02-26 11:35:28.920
1772105908632,34.086579,-118.005272,2026-02-26 11:38:28.632
1772106088652,34.086579,-118.005272,2026-02-26 11:41:28.652
1772106269379,34.086579,-118.005272,2026-02-26 11:44:29.379
1772106449202,34.086579,-118.005272,2026-02-26 11:47:29.202
1772106629029,34.086579,-118.005272,2026-02-26 11:50:29.029
1772106808837,34.086579,-118.005272,2026-02-26 11:53:28.837
1772106988754,34.086579,-118.005272,2026-02-26 11:56:28.754
1772107168474,34.086579,-118.005272,2026-02-26 11:59:28.474
1772107349311,34.086579,-118.005272,2026-02-26 12:02:29.311
1772107529230,34.086579,-118.005272,2026-02-26 12:05:29.230
1772107709249,34.086579,-118.005272,2026-02-26 12:08:29.249
1772107888976,34.086579,-118.005272,2026-02-26 12:11:28.976
1772108069103,34.086579,-118.005272,2026-02-26 12:14:29.103
1772108249315,34.086579,-118.005272,2026-02-26 12:17:29.315
1772108428722,34.086579,-118.005272,2026-02-26 12:20:28.722
1772108609360,34.086579,-118.005272,2026-02-26 12:23:29.360
1772108789192,34.086579,-118.005272,2026-02-26 12:26:29.192
1772108969089,34.086579,-118.005272,2026-02-26 12:29:29.089
1772109148904,34.086579,-118.005272,2026-02-26 12:32:28.904
1772109328830,34.086579,-118.005272,2026-02-26 12:35:28.830
1772109508635,34.086579,-118.005272,2026-02-26 12:38:28.635
1772109688448,34.086579,-118.005272,2026-02-26 12:41:28.448
1772109869223,34.086579,-118.005272,2026-02-26 12:44:29.223
1772110049013,34.086579,-118.005272,2026-02-26 12:47:29.013
1772110228928,34.086579,-118.005272,2026-02-26 12:50:28.928
1772110408640,34.086579,-118.005272,2026-02-26 12:53:28.640
1772110589342,34.086579,-118.005272,2026-02-26 12:56:29.342
1772110769298,34.086579,-118.005272,2026-02-26 12:59:29.298
1772110949218,34.086579,-118.005272,2026-02-26 13:02:29.218
1772111129031,34.086579,-118.005272,2026-02-26 13:05:29.031
1772111308851,34.086579,-118.005272,2026-02-26 13:08:28.851
1772111488763,34.086579,-118.005272,2026-02-26 13:11:28.763
1772111668583,34.086579,-118.005272,2026-02-26 13:14:28.583
1772111848503,34.086579,-118.005272,2026-02-26 13:17:28.503
1772112029289,34.086579,-118.005272,2026-02-26 13:20:29.289
1772112209257,34.086579,-118.005272,2026-02-26 13:23:29.257
1772112388967,34.086579,-118.005272,2026-02-26 13:26:28.967
1772112568787,34.086579,-118.005272,2026-02-26 13:29:28.787
1772112748596,34.086579,-118.005272,2026-02-26 13:32:28.596
1772112928627,34.086579,-118.005272,2026-02-26 13:35:28.627
1772113109265,34.086579,-118.005272,2026-02-26 13:38:29.265
1772113289080,34.086579,-118.005272,2026-02-26 13:41:29.080
1772113468994,34.086579,-118.005272,2026-02-26 13:44:28.994
1772113648811,34.086579,-118.005272,2026-02-26 13:47:28.811
1772113828625,34.086579,-118.005272,2026-02-26 13:50:28.625
1772114008441,34.086579,-118.005272,2026-02-26 13:53:28.441
1772114189248,34.086579,-118.005272,2026-02-26 13:56:29.248
1772114369098,34.086579,-118.005272,2026-02-26 13:59:29.098
1772114549018,34.086579,-118.005272,2026-02-26 14:02:29.018
1772114728937,34.086579,-118.005272,2026-02-26 14:05:28.937
1772114908650,34.086579,-118.005272,2026-02-26 14:08:28.650
1772115088570,34.086579,-118.005272,2026-02-26 14:11:28.570
1772115268376,34.086579,-118.005272,2026-02-26 14:14:28.376
1772115449234,34.086579,-118.005272,2026-02-26 14:17:29.234
1772115629131,34.086579,-118.005272,2026-02-26 14:20:29.131
1772115808966,34.086579,-118.005272,2026-02-26 14:23:28.966
1772115988777,34.086579,-118.005272,2026-02-26 14:26:28.777
1772116168636,34.086579,-118.005272,2026-02-26 14:29:28.636
1772116348514,34.086579,-118.005272,2026-02-26 14:32:28.514
1772116529236,34.086579,-118.005272,2026-02-26 14:35:29.236
1772116709207,34.086579,-118.005272,2026-02-26 14:38:29.207
1772116889201,34.086579,-118.005272,2026-02-26 14:41:29.201
1772117069006,34.086579,-118.005272,2026-02-26 14:44:29.006
1772117248614,34.086579,-118.005272,2026-02-26 14:47:28.614
1772117428538,34.086579,-118.005272,2026-02-26 14:50:28.538
1772117609184,34.086579,-118.005272,2026-02-26 14:53:29.184
1772117789084,34.086579,-118.005272,2026-02-26 14:56:29.084
1772117968910,34.086579,-118.005272,2026-02-26 14:59:28.910
1772118148726,34.086579,-118.005272,2026-02-26 15:02:28.726
1772118328640,34.086579,-118.005272,2026-02-26 15:05:28.640
1772118508454,34.086579,-118.005272,2026-02-26 15:08:28.454
1772118689209,34.086605,-118.0053,2026-02-26 15:11:29.209
1772118868951,34.086605,-118.0053,2026-02-26 15:14:28.951
